#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_land1;Land1;Land1;Land1;;Land1;;;;;;;;;x
c_land1_adj;Land1ian;;land1er;;;;;;;;;;;x
c_land10;Land10;Land10;Land10;;Land10;;;;;;;;;x
c_land10_adj;Land10ian;;land10er;;;;;;;;;;;x
c_land11;Land11;Land11;Land11;;Land11;;;;;;;;;x
c_land11_adj;Land11ian;;land11er;;;;;;;;;;;x
c_land12;Land12;Land12;Land12;;Land12;;;;;;;;;x
c_land12_adj;Land12ian;;land12er;;;;;;;;;;;x
c_land13;Land13;Land13;Land13;;Land13;;;;;;;;;x
c_land13_adj;Land13ian;;land13er;;;;;;;;;;;x
c_land2;Land2;Land2;Land2;;Land2;;;;;;;;;x
c_land2_adj;Land2ian;;land2er;;;;;;;;;;;x
c_land3;Land3;Land3;Land3;;Land3;;;;;;;;;x
c_land3_adj;Land3ian;;land3er;;;;;;;;;;;x
c_land4;Land4;Land4;Land4;;Land4;;;;;;;;;x
c_land4_adj;Land4ian;;land4er;;;;;;;;;;;x
c_land5;Land5;Land5;Land5;;Land5;;;;;;;;;x
c_land5_adj;Land5ian;;land5er;;;;;;;;;;;x
c_land6;Land6;Land6;Land6;;Land6;;;;;;;;;x
c_land6_adj;Land6ian;;land6er;;;;;;;;;;;x
c_land7;Land7;Land7;Land7;;Land7;;;;;;;;;x
c_land7_adj;Land7ian;;land7er;;;;;;;;;;;x
c_land8;Land8;Land8;Land8;;Land8;;;;;;;;;x
c_land8_adj;Land8ian;;land8er;;;;;;;;;;;x
c_land9;Land9;Land9;Land9;;Land9;;;;;;;;;x
c_land9_adj;Land9ian;;land9er;;;;;;;;;;;x
